58914865.8304 49 
58914865.9968 13 
58914866.0352 25 
58914866.0352 37 
58918820.6848 72 
58918820.928 9 
58918887.1168 71 
58919287.4112 71 
58919388.4288 70 
58919420.9024 47 
58919853.0304 49 
58921955.0336 70 
58922658.9824 70 
58922692.3392 47 
58923226.5472 72 
58923226.7136 70 
58923359.232 71 
58925192.448 72 
58925259.328 70 
58925425.5488 10 
58925480.768 14 
58925485.4656 20 
58925487.1424 12 
58925487.6672 2 
58925592.7296 49 
58925893.7088 71 
58925894.0032 12 
58925894.3488 2 
58925926.7328 47 
58925993.5744 72 
58925993.7024 71 
58926226.7392 72 
58927729.1648 72 
58927829.376 10 
58928094.6048 61 
58928161.2672 62 
58928261.824 11 
58928730.6112 70 
58928763.3536 72 
58928869.6448 49 
58929433.1136 62 
58929732.1856 63 
58929733.6576 13 
58929766.6432 21 
58929838.8864 22 
58929853.12 27 
58929853.2224 29 
58930102.3232 64 
58930201.7152 65 
58930300.8384 23 
58930668.8256 65 
58930968.3328 66 
58930968.4864 25 
58931002.5088 33 
58931069.9264 4 
58931069.9648 24 
58931073.3952 34 
58931076.2624 4 
58931076.288 24 
58931081.5872 39 
58931081.6256 41 
58931305.4592 67 
58931438.7712 68 
58931538.7008 35 
58933274.1632 69 
58934542.336 69 
58934643.8784 69 
58935211.6352 69 
58935211.84 37 
58935244.8512 45 
58935278.1952 6 
58935278.272 36 
58935306.176 46 
58935320.0512 51 
58935320.1024 53 
58935320.4096 6 
58935320.4352 36 
58935537.9328 70 
58935607.8464 71 
58935706.4576 47 
58936104.7936 72 
58936773.7856 72 
58936809.1264 49 
58936874.2272 10 
58936874.5856 8 
58936874.624 48 
58936874.88 8 
58936874.9056 48 
58936875.5456 15 
58936876.096 17 
58937106.8032 61 
58937240.4864 62 
58937305.2928 11 
58940308.032 62 
58940441.6256 63 
58940441.856 13 
58940509.8496 12 
58940510.2336 2 
58940512.8832 22 
58940513.4464 27 
58940513.4848 29 
58940513.5488 12 
58940513.856 2 
58940779.5712 64 
58940846.7072 65 
58940947.8784 23 
58941847.2832 25 
58941914.6752 66 
58941982.1824 4 
58941982.2336 24 
58941984.2816 34 
58941984.8448 38 
58941984.8832 44 
58941985.1136 4 
58941985.1264 24 
58942250.7008 67 
58942350.3232 68 
58942451.1744 35 
58942818.7008 69 
58943285.3376 69 
58943458.2272 5 
58949158.5792 69 
58949224.8576 69 
58950462.4 68 
58950895.616 68 
58951161.5488 68 
58951262.6688 68 
58951328.8576 68 
58951862.4384 37 
58952029.6448 35 
58952063.1296 37 
58952162.7264 35 
58952196.6976 37 
58952498.0352 35 
58952797.7344 68 
58953031.0016 37 
58953064.6144 69 
58953165.0176 6 
58953165.0432 36 
58953192.3712 46 
58953201.4976 50 
58953201.5616 55 
58953201.8048 6 
58953201.8432 36 
58953458.688 70 
58953524.6976 71 
58953624.4736 47 
58953925.0176 72 
58956327.3216 72 
58956636.1088 7 
58957647.6032 52 
58962101.4784 72 
58962133.9264 49 
58962233.9456 10 
58962234.2528 8 
58962234.2784 48 
58962234.4448 8 
58962234.4576 48 
58962239.168 14 
58962239.2576 19 
58962566.912 61 
58962701.0304 62 
58962800.8576 11 
58963568.5888 63 
58963669.2864 63 
58965804.3776 1 
