5.3995e+07,1,3,NaN,NaN
5.4003e+07,2,1,5,5.4004e+07
5.4004e+07,3,3,4,NaN
5.4006e+07,4,3,4,NaN
5.4007e+07,1,3,1,NaN
5.402e+07,2,4,1,NaN
5.4029e+07,3,4,1,NaN
5.4041e+07,4,3,5,5.4042e+07
5.4042e+07,1,3,1,NaN
5.4056e+07,2,4,1,NaN
5.4069e+07,3,3,1,NaN
5.4085e+07,4,1,5,5.4086e+07
5.4086e+07,1,1,5,5.4087e+07
5.4087e+07,2,1,4,NaN
5.4089e+07,3,4,1,NaN
5.4103e+07,4,1,5,5.4104e+07
5.4104e+07,1,4,1,NaN
5.4117e+07,2,2,5,5.4118e+07
5.4118e+07,3,1,5,5.4119e+07
5.4119e+07,4,1,5,5.412e+07
5.412e+07,1,1,5,5.4122e+07
5.4122e+07,2,4,1,NaN
5.4137e+07,3,1,5,5.4138e+07
5.4138e+07,4,2,4,NaN
5.414e+07,1,4,1,NaN
5.4159e+07,2,2,4,NaN
5.4162e+07,3,4,1,NaN
5.4175e+07,4,2,5,5.4176e+07
5.4176e+07,1,4,1,NaN
5.4205e+07,2,2,5,5.4206e+07
5.4206e+07,3,4,4,NaN
5.4211e+07,4,3,3,NaN
5.4218e+07,1,3,1,NaN
5.4231e+07,2,3,1,NaN
5.4246e+07,3,2,5,5.4248e+07
5.4248e+07,4,3,4,NaN
5.4249e+07,1,4,1,NaN
5.4272e+07,2,4,1,NaN
5.4302e+07,3,4,1,NaN
5.4321e+07,4,4,1,NaN
5.4337e+07,1,2,5,5.4337e+07
5.4338e+07,2,3,2,NaN
5.4359e+07,3,3,1,NaN
5.4395e+07,4,2,4,NaN
5.4412e+07,1,2,4,NaN
5.4428e+07,2,2,4,NaN
5.4431e+07,3,1,5,5.4432e+07
5.4432e+07,4,1,5,5.4433e+07
5.4433e+07,1,4,1,NaN
5.4472e+07,2,4,1,NaN
5.4485e+07,3,1,5,5.4486e+07
5.4486e+07,4,4,1,NaN
5.4513e+07,1,1,5,5.4514e+07
5.4514e+07,2,4,1,NaN
5.4556e+07,3,3,1,NaN
5.4574e+07,4,4,1,NaN
5.4617e+07,1,2,5,5.4618e+07
5.4618e+07,2,2,5,5.4619e+07
5.4619e+07,3,4,1,NaN
5.4676e+07,4,1,5,5.4677e+07
5.4677e+07,1,1,5,5.4677e+07
5.4678e+07,2,1,5,5.4679e+07
5.4679e+07,3,3,5,5.468e+07
5.468e+07,4,2,5,5.4681e+07
5.4681e+07,1,1,5,5.4682e+07
5.4682e+07,2,2,4,NaN
5.4685e+07,3,1,5,5.4686e+07
5.4686e+07,4,4,1,NaN
5.4703e+07,1,1,4,NaN
5.4705e+07,2,4,1,NaN
5.4722e+07,3,3,3,NaN
5.4729e+07,4,3,5,5.473e+07
5.473e+07,1,3,1,NaN
5.4747e+07,2,2,5,5.4749e+07
5.4749e+07,3,3,3,NaN
5.4757e+07,4,4,1,NaN
5.4773e+07,1,4,1,NaN
5.4786e+07,2,1,5,5.4787e+07
5.4787e+07,3,2,5,5.4788e+07
5.4788e+07,4,3,2,NaN
5.4795e+07,1,4,1,NaN
5.4812e+07,2,4,1,NaN
5.4837e+07,3,4,5,5.4838e+07
5.4838e+07,4,3,5,5.4839e+07
5.4839e+07,1,1,5,5.484e+07
5.484e+07,2,3,1,NaN
5.4878e+07,3,2,5,5.4879e+07
5.4879e+07,4,1,5,5.488e+07
5.488e+07,1,1,4,NaN
5.4882e+07,2,1,5,5.4883e+07
5.4883e+07,3,3,3,NaN
5.4887e+07,4,1,5,5.4888e+07
5.4888e+07,1,1,4,NaN
5.489e+07,2,2,3,NaN
5.4898e+07,3,1,5,5.4902e+07
5.4902e+07,4,2,3,NaN
5.4909e+07,1,4,1,NaN
5.4924e+07,2,4,1,NaN
