FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G
0,479438.168759114,6,0.0289589394405684,0.0286433869304468,0.031336334891768,0.0305499061763306
1,479441.026768147,1,0.0274600882291387,0.0274543087562587,0.0274470363556423,0.0274244567353612
2,479445.514055296,6,0.028096634721666,0.0279517303594159,0.0290270899351083,0.0287598027143675
3,479445.539170246,1,0.0276351684838159,0.0275663476019659,0.0279782077703771,0.0278152731220055
4,479445.564282063,6,0.0280876439519975,0.027955525016073,0.0290258550117378,0.028758844679575
5,479445.58939567,1,0.0276414320533516,0.0275764130895395,0.0279915140696942,0.0278221029829456
6,479445.614511352,6,0.0280978035217229,0.0279471317500772,0.0290323692325171,0.0287564650447678
7,479445.639625569,1,0.0276473359921006,0.0275782461016535,0.0279891059691217,0.0278290564612783
8,479445.664739133,6,0.0280865051211728,0.0279553642255367,0.0290212240490984,0.0287547344012717
9,479445.689853595,1,0.0276389745763089,0.0275749016584981,0.0279864508838752,0.0278240190525306
10,479445.714948363,6,0.0280895020443957,0.0279509907229488,0.0290182293599249,0.0287459575663985
11,479445.740059732,1,0.0276401433763658,0.027565382858748,0.0279779299126188,0.0278166947220202
12,479445.765176105,6,0.0280967545985949,0.0279486110230113,0.0290158212593525,0.0287474409751094
13,479445.79028837,1,0.0276463170382048,0.0275689524086543,0.0279888281113634,0.0278146550350426
14,479445.815403238,6,0.0280796121977604,0.027956136020111,0.0290061579839783,0.0287474409751094
15,479445.840498166,1,0.0276493139614277,0.0275738725990657,0.0279941691549408,0.0278225047394715
16,479445.865610512,6,0.0280874941058364,0.0279590945659793,0.0290210388105928,0.0287495115664352
17,479445.890725584,1,0.0276405929148493,0.027561845466949,0.0279845984988194,0.0278112246523985
18,479445.915840005,6,0.0280887228443577,0.0279462956392883,0.029016593086459,0.028738416905451
19,479445.94093286,1,0.0276426308226408,0.027566476234395,0.0279822830174998,0.0278105138523912
20,479445.966048217,6,0.0280883332443388,0.0279513444621287,0.0290093687847416,0.0287375206793548
21,479445.991162393,1,0.0276409825148682,0.0275689524086543,0.0279816346827302,0.0278186726003015
22,479446.016276488,6,0.028092828629173,0.0279446234177106,0.0290176736444082,0.0287374279663104
23,479446.041368324,1,0.0276448485458257,0.0275668621316821,0.0279881180304253,0.0278149640785241
