55899812.0576 49 
55899814.464 37 
55899837.2608 13 
55899837.3888 25 
55905209.9456 11 
55905215.9232 71 
55905242.7904 62 
55905242.8672 61 
55905310.8992 63 
55905376.5888 21 
55905411.6736 13 
55905516.6592 71 
55905817.2288 47 
55906450.9824 71 
55908421.0176 49 
55908613.888 61 
55908681.3312 63 
55908779.9552 62 
55908947.1232 11 
55909220.5952 72 
55909220.736 70 
55909254.2976 71 
55909281.2416 13 
55909287.6416 9 
55909320.9344 47 
55911022.4256 71 
55911222.656 70 
55911256.2816 49 
55911593.8688 69 
55911594.0096 45 
55911728.768 68 
55911894.9504 35 
55912229.0176 37 
55912428.9408 67 
55912718.6048 33 
55912752.8448 66 
55912785.6384 22 
55912819.3536 65 
55912886.656 23 
55913120.64 65 
55913185.6 65 
55913519.5392 65 
55913753.0112 65 
55916824.2048 64 
55916824.4352 25 
55917291.456 63 
55917390.5152 10 
55917423.5904 62 
55917490.6624 11 
55920428.0832 62 
55920593.8304 61 
55920628.4928 13 
55921167.5392 72 
55921236.4544 46 
55921301.0816 71 
55921367.9872 47 
55923037.4656 71 
55923975.488 71 
55924337.984 71 
55924604.864 71 
55924771.7632 71 
55924904.8448 71 
55926174.0288 70 
55926207.2704 49 
55926573.7984 72 
55927678.7328 69 
55927980.352 34 
55928046.0928 68 
55928112.768 35 
55928847.2576 68 
55929414.5664 68 
55929647.6672 68 
55929848.0256 37 
55930182.784 67 
55930506.0096 66 
55930539.1744 22 
55930573.1712 65 
55930640.9088 23 
55931375.0912 65 
55931440.2304 65 
55931506.5984 65 
55931641.2032 65 
55932208.7936 65 
55932442.3168 65 
55932541.0048 65 
55932808.4864 65 
55932876.0064 65 
55932942.6944 65 
55933141.7728 65 
55933509.056 25 
55933576.9216 64 
55935980.1344 63 
55936114.1376 10 
55936181.4272 62 
55936613.1456 11 
55938147.456 62 
55938882.4448 62 
55939217.536 13 
55939351.9744 61 
55939923.7376 72 
55940027.5968 46 
55940058.4448 71 
55940157.6192 47 
55940625.3696 72 
55943562.4064 71 
55943826.5344 49 
55943860.864 70 
55945667.2896 69 
55945933.1456 34 
55946067.1104 68 
55947164.1344 46 
55947430.1824 70 
55947497.0496 71 
55947598.1952 47 
55950667.6992 49 
55951134.4256 70 
55951568.6016 72 
55951906.2272 69 
55952072.9216 67 
55953608.64 69 
55956045.1712 68 
55956144.5632 35 
55958514.9056 68 
55958947.8528 68 
55962451.6096 37 
55962486.3616 35 
55962519.2832 37 
55963520.5248 35 
55963686.7456 68 
55963986.9824 37 
55964153.7792 69 
55965051.9168 46 
55967687.5136 70 
55967821.1712 72 
55968082.2016 10 
55968090.496 14 
55968090.5472 20 
55968817.4848 61 
55968950.6944 63 
55969052.8384 12 
55969053.3632 2 
55969053.7344 22 
55969062.6304 26 
55969062.72 32 
55969062.7584 12 
55969063.104 2 
55969350.592 64 
55969517.44 66 
55969651.328 4 
55969651.3536 24 
55969693.8112 34 
55969699.0464 39 
55969699.0848 41 
55969699.2512 4 
55969699.264 24 
55970528.8704 67 
55970861.0304 69 
55971429.6576 6 
55971429.696 36 
55971492.3136 46 
55971498.1632 51 
55971498.2272 53 
55971498.4576 6 
55971498.4832 36 
55972026.5216 70 
55972191.9872 71 
55972492.3008 47 
55972659.136 72 
55972792.8192 49 
55974160.7552 71 
55974228.096 71 
55974727.7312 70 
55975061.824 71 
55975128.3584 70 
55975161.0752 71 
55975228.1344 71 
55975395.3536 72 
55976034.0864 69 
55976034.4448 8 
55976034.4704 48 
55976436.3136 68 
55976803.5712 35 
55976971.8912 37 
55977003.4688 69 
55977669.12 67 
55978794.9696 66 
55978993.8944 65 
55979194.3296 23 
55980095.7696 25 
55980262.6432 66 
55980407.0272 34 
55980672.5504 67 
55981040.64 69 
55981669.7088 46 
55981670.0416 8 
55981670.0544 48 
55984539.4432 70 
55984606.1056 71 
55984806.208 47 
55985140.2496 49 
55985607.1552 72 
55985736.2176 10 
55985739.2256 15 
55985739.2768 19 
55986002.7904 61 
55986169.7664 62 
55986537.0368 11 
55989007.4752 62 
55989173.8752 62 
55989340.8896 13 
55989374.2336 63 
55989440.6912 12 
55989440.9856 2 
55989441.0624 22 
55989441.3952 27 
55989441.4464 29 
55989441.4848 12 
55989441.8432 2 
55989806.2848 64 
55990273.6128 65 
55990373.9008 65 
55990707.2256 64 
55990875.4304 64 
55991041.1392 66 
55991211.2512 4 
55991211.3152 24 
55991224.0512 34 
55991229.1456 38 
55991229.2224 43 
55991229.4784 4 
55991229.5168 24 
55991518.4128 67 
55991718.208 69 
55991885.8752 6 
55991885.9264 36 
55992048.0384 46 
55992048.768 51 
55992048.8064 53 
55992049.0112 6 
55992049.024 36 
55992414.7328 70 
55992481.4464 71 
55992615.5648 47 
55992915.6864 72 
55994684.6976 72 
55995017.792 72 
55995218.8032 72 
55995685.3888 49 
55995751.744 72 
55997620.7488 70 
55998589.056 72 
55998993.4976 69 
55998993.8816 8 
55998993.8944 48 
55999327.0784 68 
56001029.1328 69 
56001296.4992 67 
56001329.6384 68 
56001853.9136 66 
56002221.9008 65 
56002353.9328 23 
56002922.1376 65 
56003055.5008 65 
56003155.264 65 
56003588.672 25 
56003922.5216 23 
56004056.448 25 
56004456.4736 23 
56004990.2848 65 
56005391.68 25 
56005423.936 64 
56006726.72 63 
56006860.8384 62 
56006961.3952 11 
56007694.8864 62 
56007961.6512 61 
56008028.4672 61 
56008428.8512 13 
56009496.9344 61 
56010869.5168 72 
56011003.648 46 
56011103.2064 71 
56011769.8944 72 
56012503.936 47 
56013238.2208 71 
56013271.6672 49 
56013305.024 71 
56013472.0128 71 
56013672.7808 71 
56013839.0912 71 
56013839.2064 47 
56014306.4192 49 
56014340.4032 70 
56016412.8896 69 
56016548.928 34 
56016615.8336 68 
56016782.272 35 
56017216.8192 69 
56017347.3152 37 
56017582.6432 67 
56018073.1904 66 
56018206.9632 22 
56018305.9712 64 
56018540.1856 65 
56018742.7456 23 
56019640.832 25 
56020074.5216 23 
56020307.584 25 
56020341.8368 23 
56020408.576 25 
56020441.2416 23 
56020708.1344 65 
56020808.3712 64 
56020842.3296 25 
56021175.9872 64 
56021476.416 63 
56021576.7424 61 
56021611.9808 10 
56021876.6848 62 
56022010.7136 11 
56024947.3792 62 
56025381.7472 61 
56025549.056 13 
56026320.4096 72 
56026555.0464 46 
56026753.3184 71 
56026987.3024 47 
56027988.288 49 
56028021.5552 70 
56028355.6224 71 
56028922.9056 70 
56028956.0448 72 
56033528.4096 70 
56033595.3024 71 
56033761.3312 47 
56034429.4016 49 
56034696.6144 47 
56034929.5616 49 
56035697.5616 72 
56035860.4672 10 
56035861.056 8 
56035861.1072 48 
56035861.504 15 
56035861.5552 19 
56036161.1904 61 
56036394.5216 62 
56036495.1552 11 
56036827.4816 13 
56036894.3616 61 
56038763.5328 61 
56042805.5168 12 
56042805.9648 2 
56043939.4304 72 
56045174.8096 71 
56045408.4608 47 
56045541.9904 49 
56047545.5104 72 
56047643.5072 70 
56049252.7616 69 
56049517.6064 34 
56049787.3024 68 
56049919.9744 35 
56050518.7584 69 
56050719.808 37 
56050785.7664 69 
56050886.5152 69 
56050886.6176 67 
56050986.3808 69 
56051744.0384 66 
56051844.1728 22 
56052110.8736 65 
56052244.416 23 
56053378.9952 25 
56053479.2576 66 
56053512.576 64 
56053813.0944 65 
56053912.512 66 
56054224.3712 34 
56054224.4864 12 
56054225.1264 2 
56054556.6464 67 
56054689.6768 69 
56054852.1984 46 
56055418.9952 70 
56055553.1008 71 
56056320.3968 72 
56056517.9008 10 
56056883.5456 61 
56057351.2704 63 
56057452.8896 22 
56057453.2224 27 
56057453.2736 29 
56057816.9472 64 
56057950.4256 65 
56058251.5584 64 
56058519.3472 64 
56058651.5456 66 
56058786.1632 4 
56058786.1888 24 
56058796.2496 34 
56058796.8 38 
56058796.8384 43 
56058797.12 4 
56058797.1584 24 
56059062.016 67 
56059529.6768 69 
56059691.4304 46 
56059691.7376 6 
56059691.7504 36 
56059692.1984 51 
56059692.2368 53 
56059692.4288 6 
56059692.4416 36 
56060024.4992 70 
56060091.5584 71 
56060258.2784 47 
56060691.6736 72 
56061026.6112 49 
56061159.04 72 
56061192.5632 70 
56061494.1184 72 
56061693.7472 72 
56062060.672 72 
56063432.96 69 
56063433.4464 8 
56063433.4848 48 
56063634.24 68 
56063767.4496 35 
56065203.7888 68 
56065635.8016 68 
56066771.4176 68 
56066970.8288 68 
56067271.6928 68 
56067371.2 68 
56069207.872 68 
56069341.0816 68 
56071243.968 37 
56073945.8688 35 
56073978.688 37 
56074045.76 35 
56075047.4112 68 
56075246.8352 69 
56075247.0144 37 
56075342.784 46 
56075343.2832 8 
56075343.3344 48 
56075513.5744 69 
56075643.3024 70 
56075742.528 71 
56076009.9456 47 
56076577.2416 72 
56076610.0992 49 
56076676.6592 72 
56076710.1056 70 
56077283.0336 69 
56077516.2752 67 
56077816.192 67 
56077940.0064 66 
56078007.3472 65 
56078174.5792 23 
56085783.2576 25 
56086416.4736 23 
56086951.36 65 
56087251.264 64 
56087251.4688 25 
56087819.968 63 
56087887.424 62 
56087952.96 11 
56091691.1616 62 
56091857.9328 61 
56091926.1056 13 
56093161.6768 72 
56093363.2128 46 
56094063.6288 71 
56094363.1488 72 
56094530.9952 47 
56096800.832 49 
56097300.6336 70 
56098602.3936 72 
56098935.2832 71 
56099202.5856 72 
56099503.5392 47 
56100337.024 72 
56100571.3408 72 
56100638.2336 72 
56101105.2032 72 
56103607.4368 49 
56103673.6128 72 
56103839.424 10 
56103839.7568 14 
56103839.808 20 
56104138.2912 61 
56104505.3952 62 
56104739.392 63 
56104838.3744 12 
56104838.9632 2 
56104839.3728 22 
56104839.7568 27 
56104839.808 29 
56104839.872 12 
56104840.2304 2 
56105438.0928 64 
56105538.4832 65 
56105638.8608 23 
56106105.4592 66 
56107707.1232 65 
56107908.096 65 
56108341.1968 65 
56108574.7712 25 
56108607.8848 64 
56108842.3552 66 
56109009.7792 4 
56109009.8048 24 
56109019.8528 34 
56109020.288 38 
56109020.3392 43 
56109020.5824 4 
56109020.6208 24 
56109243.5584 6 
56109243.648 36 
56109518.9888 67 
56109686.4384 68 
56109986.3296 69 
56110116.2496 46 
56110116.5312 50 
56110116.5568 56 
56110116.8128 6 
56110116.8512 36 
56110481.6768 70 
56110549.7344 71 
56110716.1472 47 
56111717.6704 7 
56112016.7936 72 
56119391.68 71 
56119792.9472 49 
56120125.8624 72 
56120263.7952 8 
56120263.8464 48 
56120295.4624 10 
56120295.7696 8 
56120295.808 48 
