FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G
0,564693.343158853,6,0.0285138663727472,0.0289852597687687,0.0302127707362061,0.030382929983302
2,564700.109244342,6,0.0279260798210552,0.0281026483568051,0.0285703535265301,0.0286283047130097
4,564700.159470579,6,0.0279278779749889,0.0281036774162376,0.0285893404733515,0.028623483634699
6,564700.209680419,6,0.0279296161904581,0.028105928483746,0.0285894022195201,0.0286312715304316
8,564700.259909382,6,0.0279286871442591,0.0281131640578804,0.0285932922281371,0.0286345164869869
10,564700.310115354,6,0.0279168193282967,0.028109337243116,0.0285776087013318,0.0286274702956097
12,564700.360322996,6,0.0279226633285812,0.0281076650215383,0.0285793067209662,0.028630931582602
14,564700.41055493,6,0.0279158003744009,0.0281078258120746,0.0285770221127308,0.0286327240347944
16,564700.460762898,6,0.0279175086206379,0.0281073112823584,0.0285819618062128,0.0286307770608613
18,564700.510968545,6,0.0279299458520127,0.0281001721825458,0.0285838450643528,0.0286198987303142
20,564700.561199217,6,0.0279218841285433,0.0280995611785078,0.028586098799504,0.0286279338608319
22,564700.611426512,6,0.0279239819747992,0.0281028091473415,0.02857810267068,0.0286251524694989
24,564700.661655801,6,0.0279144217897184,0.0281026805149124,0.0285781335437643,0.0286259559825506
26,564700.711863401,6,0.0279219140977755,0.0281077614958601,0.028584339033701,0.0286330021739277
28,564700.762091022,6,0.027915021174363,0.0280995290204005,0.0285764355241298,0.0286272539651727
30,564700.812300088,6,0.027916339820581,0.0280955092569926,0.0285702609072774,0.0286276248173505
32,564700.862508015,6,0.0279122040665335,0.0281066359621058,0.0285767442549725,0.0286236690607879
34,564700.912735797,6,0.0279208651746475,0.028097149320463,0.0285817148215387,0.0286207949564104
36,564700.962962767,6,0.0279212248054342,0.028095316308349,0.0285812517252748,0.0286191570259587
38,564701.013172769,6,0.0279175985283346,0.0281085332904344,0.0285804798981682,0.0286265740695135
40,564701.063400186,6,0.0279163697898133,0.0281100125633686,0.0285765898895512,0.0286267285912543
42,564701.113608356,6,0.0279105257895288,0.0280975673758574,0.0285693655878338,0.0286166846781071
44,564701.163857216,6,0.0279219140977755,0.0281048672662063,0.0285794302133033,0.0286253378955877
46,564701.214081623,6,0.0279170590821545,0.0281071504918221,0.028567513202778,0.028622834643388
48,564701.264312254,6,0.0279258400671974,0.0281140966429911,0.0285796771979774,0.0286236072520916
50,564701.314518473,6,0.0279251507748561,0.0280972136366775,0.0285790906093764,0.0286215366607659
52,564701.364726276,6,0.0279199361284484,0.0281057033769952,0.0285703843996144,0.0286299117391132
54,564701.414954629,6,0.0279092670817752,0.0281006545541548,0.0285735952003777,0.0286177663302922
56,564701.465165038,6,0.0279256003133396,0.0281050923729572,0.0285815295830331,0.0286278102434393
58,564701.515392984,6,0.0279193067745716,0.0281008796609056,0.0285807886290108,0.0286247816173211
60,564701.565600625,6,0.0279120542203724,0.0280973101109993,0.0285825175217295,0.0286155103128776
62,564701.615829669,6,0.0279208951438797,0.0281012012419783,0.0285853578454817,0.0286189715998698
64,564701.66605257,6,0.0279149912051308,0.0280973744272139,0.0285763120317928,0.0286243180520989
66,564701.716281981,6,0.0279278180365245,0.0281085976066489,0.0285896800772784,0.0286248743303655
68,564701.766507242,6,0.0279314143443918,0.0281019087203381,0.0285840303028584,0.0286213203303289
70,564701.816720416,6,0.0279262296672164,0.0281047707918845,0.0285826410140666,0.0286244107651434
72,564701.86692814,6,0.02792224375933,0.0281055425864589,0.0285786583861967,0.0286305916347724
74,564701.917157185,6,0.0279245214209793,0.0281021338270889,0.0285759724278659,0.0286238544868768
76,564701.967380818,6,0.0279063300970168,0.028097149320463,0.0285704152726987,0.0286186934607365
78,564702.017593178,6,0.0279115447434245,0.0280991752812206,0.0285715884499006,0.0286310551999946
80,564702.067802448,6,0.027912264004998,0.0280953484664562,0.0285791214824607,0.0286171482433292
82,564702.118030557,6,0.0279157704051687,0.0280988215420407,0.0285712488459738,0.0286274393912616
84,564702.168238157,6,0.0279140921281639,0.0281014906649436,0.0285775778282476,0.0286288300869281
86,564702.218465371,6,0.027918167943747,0.0281030985703068,0.028575632823939,0.0286274084869135
88,564702.268694172,6,0.0279148413589696,0.0280917146003354,0.0285749844891695,0.0286124507824112
90,564702.31892342,6,0.0279100163125809,0.0281061214323896,0.0285741200428102,0.028626883112995
92,564702.369131388,6,0.0279205055438608,0.0281096909822959,0.0285764355241298,0.0286306534434687
94,564702.41935685,6,0.0279154407436142,0.0281049958986354,0.0285673588373567,0.0286172409563737
96,564702.469566852,6,0.0279245214209793,0.0281046100013482,0.0285726998809341,0.0286228964520843
98,564702.519795612,6,0.0279237122517092,0.0280955735732071,0.0285773617166577,0.0286154175998331
100,564702.570003784,6,0.0279293164981359,0.028093611928664,0.0285826101409823,0.0286224946955584
102,564702.62022892,6,0.0279221238824011,0.0281033558351649,0.0285777321936689,0.0286269758260394
104,564702.670440428,6,0.0279238920671026,0.0281086940809707,0.0285799241826515,0.028633063982624
106,564702.720687214,6,0.0279221538516333,0.02810811523504,0.0285841229221112,0.0286300971652021
108,564702.770894408,6,0.0279145716358796,0.0281008475027984,0.0285761267932872,0.0286183226085588
110,564702.821125203,6,0.0279190670207138,0.0281020373527671,0.0285822396639712,0.0286168701041959
112,564702.87132971,6,0.0279095667740975,0.0280842539194502,0.028565629944638,0.0286068261910487
114,564702.921557982,6,0.0279129532973393,0.0280928722921969,0.0285733790887879,0.0286142432346036
116,564702.971768635,6,0.0279175985283346,0.0281025518824833,0.028581159106022,0.0286212276172844
118,564703.02199426,6,0.0279083080663439,0.0280853151369899,0.0285673588373567,0.0286191570259587
120,564703.072203042,6,0.0279177184052635,0.0280826138559798,0.028574459646737,0.0286099784345596
122,564703.122432697,6,0.0279041723122964,0.0280973422691066,0.0285713414652265,0.0286175499998551
124,564703.172640665,6,0.0279105857279932,0.0280957665218507,0.0285742744082315,0.0286139650954703
126,564703.222884033,6,0.0279091472048463,0.0280833213343396,0.0285657225638908,0.0286111837041372
128,564703.273097329,6,0.0279018347121826,0.0280854116113117,0.0285684085222216,0.0286120799302334
130,564703.323304361,6,0.0279055508969789,0.0280875662044984,0.0285756019508548,0.0286142123302555
132,564703.373530842,6,0.0278908360039548,0.0280817777451909,0.0285565532578649,0.0286189406955217
134,564703.423760335,6,0.0278931136656042,0.0280844468680938,0.0285701374149403,0.0286176118085514
136,564703.473966958,6,0.0278950916349312,0.0280828711208379,0.0285699521764347,0.0286143977563443
138,564703.524178628,6,0.0278937729887132,0.0280787227250008,0.0285770838588994,0.0286193115476994
140,564703.574402546,6,0.0278832837574333,0.0280730307400151,0.0285589304853531,0.0286166846781071
142,564703.62461511,6,0.0278871198191585,0.0280792050966098,0.028559517073954,0.0286169319128922
144,564703.674821247,6,0.0278942524964289,0.0280748637521292,0.0285684085222216,0.0286164374433219
146,564703.725049641,6,0.0278802568649783,0.0280769861872086,0.0285568619887075,0.028617735425944
148,564703.775279174,6,0.0278803168034427,0.0280747351197001,0.0285645185136046,0.0286177972346403
