FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G
1,479441.026768147,1,0.0274600882291387,0.0274543087562587,0.0274470363556423,0.0274244567353612
3,479445.539170246,1,0.0276351684838159,0.0275663476019659,0.0279782077703771,0.0278152731220055
5,479445.58939567,1,0.0276414320533516,0.0275764130895395,0.0279915140696942,0.0278221029829456
7,479445.639625569,1,0.0276473359921006,0.0275782461016535,0.0279891059691217,0.0278290564612783
9,479445.689853595,1,0.0276389745763089,0.0275749016584981,0.0279864508838752,0.0278240190525306
11,479445.740059732,1,0.0276401433763658,0.027565382858748,0.0279779299126188,0.0278166947220202
13,479445.79028837,1,0.0276463170382048,0.0275689524086543,0.0279888281113634,0.0278146550350426
15,479445.840498166,1,0.0276493139614277,0.0275738725990657,0.0279941691549408,0.0278225047394715
17,479445.890725584,1,0.0276405929148493,0.027561845466949,0.0279845984988194,0.0278112246523985
19,479445.94093286,1,0.0276426308226408,0.027566476234395,0.0279822830174998,0.0278105138523912
21,479445.991162393,1,0.0276409825148682,0.0275689524086543,0.0279816346827302,0.0278186726003015
23,479446.041368324,1,0.0276448485458257,0.0275668621316821,0.0279881180304253,0.0278149640785241
25,479446.091597613,1,0.0276461971612759,0.0275676660843637,0.0279782386434614,0.0278190125481311
27,479446.141807779,1,0.0276386748839866,0.0275715572153427,0.0279777138010289,0.0278202487220569
29,479446.192033324,1,0.0276440393765555,0.0275642251668865,0.0279845367526509,0.0278135733828576
31,479446.242261718,1,0.0276433800534465,0.0275697885194432,0.027979133962905,0.0278145005133019
33,479446.292506632,1,0.0276393042378634,0.0275731972788131,0.0279823447636683,0.0278210522351087
35,479446.342718504,1,0.0276527604231339,0.0275774099908647,0.0279951262205529,0.0278261514525527
37,479446.392925414,1,0.0276475757459584,0.0275682449302945,0.0279911435926831,0.0278165711046276
39,479446.443136067,1,0.0276446087919678,0.0275632282655613,0.0279898160500598,0.0278101739045616
41,479446.493362669,1,0.0276351684838159,0.0275742584963528,0.027977960785703,0.0278222884090345
43,479446.543570026,1,0.0276354082376738,0.0275659617046788,0.0279764480045742,0.0278195379220496
45,479446.593795612,1,0.0276356779607638,0.0275732937531349,0.0279766332430797,0.0278168801481091
47,479446.644026204,1,0.0276426008534085,0.0275667656573604,0.0279808011094552,0.0278157057828796
49,479446.694233274,1,0.0276375060839297,0.0275692096735124,0.0279855864375158,0.0278118736437096
51,479446.744442585,1,0.0276420614072284,0.0275689845667616,0.0279781151511243,0.0278145623219982
53,479446.794671141,1,0.027641611868745,0.0275704316815884,0.0279769111008381,0.0278067435219175
55,479446.844899617,1,0.0276426008534085,0.0275735188598858,0.0279823447636683,0.0278172200959387
57,479446.895126302,1,0.0276506625768779,0.0275714607410209,0.0279877784264985,0.0278120281654503
59,479446.945334878,1,0.0276440993150199,0.0275720717450589,0.0279774976894391,0.0278102357132579
61,479446.995564574,1,0.0276403831302236,0.0275707532626611,0.0279753365735407,0.0278159839220129
63,479447.045771728,1,0.0276391843609345,0.0275782782597608,0.0279809554748765,0.0278144696089538
65,479447.09600122,1,0.0276450583304513,0.0275702387329448,0.0279812333326348,0.0278160457307092
67,479447.146209837,1,0.0276379855916454,0.0275744192868891,0.0279759231621417,0.0278126153480651
