FrameCounter,Timestamp,Flags,Region0R,Region1R,Region2G,Region3G
0,308993.789647379,6,0.0275294370325148,0.0275030282887634,0.0274732784772654,0.0274467078660258
1,308996.645873248,1,0.0275115154316423,0.0274878496621349,0.0274474377057378,0.0274266818484277
2,309010.110837441,6,0.0281303800771549,0.0282644679525568,0.028985997859955,0.0288917642809476
3,309010.135934813,1,0.0278782788956512,0.0278711743007199,0.0286272217477415,0.0283743018756042
4,309010.161048583,6,0.0281307696771739,0.0282588724418929,0.0290005699557268,0.0288974815853544
5,309010.186160928,1,0.0278754018493573,0.0278812719464008,0.0286254619819385,0.0283794319973963
6,309010.211274291,6,0.0281408093699704,0.028263760474197,0.0290013417828334,0.0288963999331694
7,309010.236389566,1,0.0278837033266845,0.0278716566723289,0.0286275613516684,0.0283654014233384
8,309010.261503784,6,0.0281447353393923,0.0282665903876362,0.0290040277411642,0.0288955037070731
9,309010.286615313,1,0.0278762709570919,0.0278804036775047,0.0286282096864379,0.0283735601712487
10,309010.311730304,6,0.0281398503545391,0.0282581971216404,0.028997760505059,0.0288968325940434
11,309010.336843341,1,0.0278838531728457,0.0278890863664659,0.0286198122075185,0.0283789684321741
12,309010.361959023,6,0.0281319984156953,0.028260834086436,0.0289950436736439,0.0288884884200442
13,309010.387052285,1,0.0278817253573575,0.0278795675667158,0.0286198430806028,0.0283732511277673
14,309010.412165689,6,0.0281424576777429,0.0282633745769099,0.0290021444830242,0.0288991195158061
15,309010.437279337,1,0.0278822048650731,0.0278796640410376,0.0286216028464058,0.0283695117016417
16,309010.462376505,6,0.0281294210617236,0.0282517655001876,0.028989054295297,0.0288897554983181
17,309010.48750533,1,0.027879567572637,0.0278713350912563,0.0286249988856746,0.028375321719093
18,309010.512601642,6,0.0281440160778188,0.028259001074322,0.0290029780562993,0.0288899100200589
19,309010.53771887,1,0.0278721052338122,0.0278659325292359,0.028614687275531,0.0283605185363314
20,309010.562813027,6,0.0281366736159229,0.0282691308781101,0.028994827562054,0.0289002938810356
21,309010.587924925,1,0.0278732140954046,0.0278688910751042,0.0286171879953562,0.0283671320668345
22,309010.613037474,6,0.0281356246927949,0.0282610913512941,0.0289971121702895,0.0288960599853398
23,309010.638133585,1,0.027867609848978,0.0278710456682909,0.028605394477168,0.028362125562435
24,309010.663249835,6,0.0281268137385198,0.0282531804569072,0.0289869240524829,0.0288911152896365
25,309010.688363401,1,0.0278597579101342,0.0278648713116962,0.0286106429014926,0.0283707478755675
26,309010.713458047,6,0.0281260045692496,0.0282565892162772,0.0289955993891606,0.0288889519852664
27,309010.738571328,1,0.0278745027723905,0.0278768341275984,0.0286195343497602,0.0283722621886266
28,309010.76370532,6,0.0281253452461406,0.0282510901799351,0.028988467706696,0.0288832964895558
29,309010.788816445,1,0.0278696177875373,0.0278687302845679,0.0286108590130824,0.0283678428668419
30,309010.81391341,6,0.028121988692131,0.0282613807742595,0.0289800702277766,0.028893773063577
31,309010.839024372,1,0.0278752520031962,0.0278707884034328,0.028622096815754,0.0283705933538268
32,309010.864139404,6,0.0281309195233351,0.0282491606934992,0.0289902583455832,0.028886325115674
33,309010.889235756,1,0.0278684489874804,0.0278713672493635,0.0286107355207454,0.028370006171212
34,309010.914350014,6,0.0281322981080175,0.0282459127246656,0.0289855038906068,0.0288792789242969
35,309010.939463458,1,0.0278629346487504,0.0278701452412875,0.0286111368708408,0.0283641652494126
36,309010.964575682,6,0.0281238767537614,0.0282562676352045,0.028984114601815,0.0288832346808595
37,309010.98969112,1,0.027871026341452,0.0278663505846304,0.0286124026672956,0.028363825301583
38,309011.014784504,6,0.0281192315227661,0.0282532447731217,0.0289738338647556,0.0288880557591701
39,309011.039899942,1,0.0278708165568264,0.0278627167185096,0.0286140698138457,0.0283547703275764
40,309011.065013386,6,0.0281324179849465,0.0282525694528692,0.0289793910199228,0.0288869122982888
41,309011.09012679,1,0.0278685688644093,0.0278738112655156,0.0286095932166277,0.028373189319071
42,309011.115222491,6,0.0281208198920741,0.0282609305607578,0.0289814286434841,0.0288895391678811
43,309011.14033386,1,0.0278732140954046,0.0278706276128965,0.0286104885360713,0.0283684300494566
44,309011.165451129,6,0.0281284320770601,0.0282520227650457,0.028984824682753,0.0288859542634963
45,309011.19054549,1,0.0278734838184947,0.027874711692519,0.0286195034766759,0.0283641343450644
46,309011.215656534,6,0.0281286118924535,0.0282600622918617,0.0289746983111149,0.028883760054778
47,309011.240773152,1,0.0278797174187982,0.0278783455586398,0.0286118160786946,0.0283686772842418
48,309011.265886759,6,0.0281404797084159,0.0282558495798101,0.0289814595165684,0.0288917333765994
